chrom	length	bases	mean	min	max
chr1	248956422	1101257839	4.42	0	1890
chr1_region	4728181	601854499	127.29	0	1890
chr2	242193529	728952926	3.01	0	1849
chr2_region	3365782	376279436	111.80	0	1849
chr3	198295559	600161694	3.03	0	2001
chr3_region	2638027	315003418	119.41	0	2001
chr4	190214555	435631261	2.29	0	1385
chr4_region	1796579	219944369	122.42	0	1385
chr5	181538259	484254203	2.67	0	1179
chr5_region	2085904	248287226	119.03	0	1179
chr6	170805979	588764652	3.45	0	1960
chr6_region	2346319	324043441	138.11	0	1907
chr7	159345973	522557340	3.28	0	2717
chr7_region	2210246	268603834	121.53	0	2717
chr8	145138636	367455043	2.53	0	1273
chr8_region	1566502	180466352	115.20	0	1273
chr9	138394717	464751345	3.36	0	1408
chr9_region	1873735	240400334	128.30	0	1408
chr10	133797422	502734884	3.76	0	1077
chr10_region	1828952	260796804	142.59	0	1077
chr11	135086622	574698063	4.25	0	1351
chr11_region	2653682	325368662	122.61	0	1351
chr12	133275309	585010214	4.39	0	2042
chr12_region	2445531	326692180	133.59	0	2042
chr13	114364328	239573054	2.09	0	1328
chr13_region	828312	118934723	143.59	0	1328
chr14	107043718	331204425	3.09	0	2062
chr14_region	1508410	179849875	119.23	0	2062
chr15	101991189	355225439	3.48	0	972
chr15_region	1620590	177772818	109.70	0	936
chr16	90338345	350407399	3.88	0	2088
chr16_region	1975485	187053160	94.69	0	1677
chr17	83257441	531476878	6.38	0	1910
chr17_region	2581394	286964819	111.17	0	1910
chr18	80373285	177379509	2.21	0	994
chr18_region	691497	87781395	126.94	0	994
chr19	58617616	456599776	7.79	0	1396
chr19_region	2891894	271983629	94.05	0	1396
chr20	64444167	257846528	4.00	0	1053
chr20_region	1136294	136709495	120.31	0	1053
chr21	46709983	118626629	2.54	0	1238
chr21_region	462839	55785072	120.53	0	1209
chr22	50818468	191091866	3.76	0	1390
chr22_region	989969	96129247	97.10	0	1390
chrX	156040895	502125152	3.22	0	3039
chrX_region	0	0	0.00	0	0
chrY	57227415	1821779	0.03	0	746
chrY_region	0	0	0.00	0	0
chrM	16569	3554027	214.50	0	310
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	809402	4.62	0	471
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	12055	0.38	0	6
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	77331	0.61	0	39
