chrom	length	bases	mean	min	max
chr1	248956422	1063013965	4.27	0	1594
chr1_region	4728181	519019807	109.77	0	1594
chr2	242193529	710893967	2.94	0	1574
chr2_region	3365782	327269330	97.23	0	1574
chr3	198295559	584372328	2.95	0	1896
chr3_region	2638027	273766786	103.78	0	1896
chr4	190214555	427175094	2.25	0	1062
chr4_region	1796579	194508745	108.27	0	1062
chr5	181538259	471668431	2.60	0	885
chr5_region	2085904	216568591	103.82	0	885
chr6	170805979	570265830	3.34	0	1696
chr6_region	2346319	280959419	119.74	0	1592
chr7	159345973	507288307	3.18	0	2166
chr7_region	2210246	232657273	105.26	0	2166
chr8	145138636	360646845	2.48	0	1089
chr8_region	1566502	157290251	100.41	0	1089
chr9	138394717	442954168	3.20	0	1002
chr9_region	1873735	204665264	109.23	0	1002
chr10	133797422	492939137	3.68	0	862
chr10_region	1828952	225948387	123.54	0	862
chr11	135086622	543258718	4.02	0	1029
chr11_region	2653682	276347487	104.14	0	1029
chr12	133275309	563829154	4.23	0	1580
chr12_region	2445531	280844834	114.84	0	1580
chr13	114364328	234464152	2.05	0	1153
chr13_region	828312	104466963	126.12	0	1153
chr14	107043718	318657431	2.98	0	1815
chr14_region	1508410	155447772	103.05	0	1815
chr15	101991189	339504591	3.33	0	808
chr15_region	1620590	151244185	93.33	0	808
chr16	90338345	319734206	3.54	0	1699
chr16_region	1975485	151912305	76.90	0	1442
chr17	83257441	497144400	5.97	0	1609
chr17_region	2581394	239743783	92.87	0	1609
chr18	80373285	173103131	2.15	0	819
chr18_region	691497	76683612	110.90	0	819
chr19	58617616	403985990	6.89	0	1109
chr19_region	2891894	218658395	75.61	0	1109
chr20	64444167	246047092	3.82	0	919
chr20_region	1136294	115054190	101.25	0	919
chr21	46709983	110406722	2.36	0	1015
chr21_region	462839	46494258	100.45	0	1015
chr22	50818468	175279637	3.45	0	1069
chr22_region	989969	77782542	78.57	0	1069
chrX	156040895	477236936	3.06	0	2756
chrX_region	0	0	0.00	0	0
chrY	57227415	1145314	0.02	0	566
chrY_region	0	0	0.00	0	0
