chrom	length	bases	mean	min	max
chr1	248956422	2216012838	8.90	0	4601
chr1_region	4728181	1131360968	239.28	0	4601
chr2	242193529	1533463038	6.33	0	3961
chr2_region	3365782	838328724	249.07	0	2884
chr3	198295559	1123869417	5.67	0	22981
chr3_region	2638027	602898428	228.54	0	22981
chr4	190214555	900958136	4.74	0	5420
chr4_region	1796579	470089745	261.66	0	5420
chr5	181538259	949874110	5.23	0	2190
chr5_region	2085904	504642254	241.93	0	2190
chr6	170805979	1058006548	6.19	0	11802
chr6_region	2346319	586329479	249.89	0	11802
chr7	159345973	979964531	6.15	0	12934
chr7_region	2210246	506498946	229.16	0	11955
chr8	145138636	679443268	4.68	0	3735
chr8_region	1566502	343397715	219.21	0	3735
chr9	138394717	831692137	6.01	0	3074
chr9_region	1873735	404466032	215.86	0	3074
chr10	133797422	861660406	6.44	0	3437
chr10_region	1828952	440236501	240.70	0	3437
chr11	135086622	1011859851	7.49	0	5560
chr11_region	2653682	576806617	217.36	0	5560
chr12	133275309	989396560	7.42	0	1606
chr12_region	2445531	550007617	224.90	0	1606
chr13	114364328	412347073	3.61	0	1402
chr13_region	828312	197608433	238.57	0	1402
chr14	107043718	622801690	5.82	0	2455
chr14_region	1508410	341712892	226.54	0	2176
chr15	101991189	737166186	7.23	0	3412
chr15_region	1620590	369698855	228.13	0	3412
chr16	90338345	711944887	7.88	0	2071
chr16_region	1975485	377438209	191.06	0	2071
chr17	83257441	977261014	11.74	0	3312
chr17_region	2581394	511379230	198.10	0	1947
chr18	80373285	333733530	4.15	0	1795
chr18_region	691497	166290166	240.48	0	1795
chr19	58617616	829537994	14.15	0	4089
chr19_region	2891894	517002495	178.78	0	4089
chr20	64444167	409770131	6.36	0	2355
chr20_region	1136294	213353199	187.76	0	2151
chr21	46709983	231197128	4.95	0	5130
chr21_region	462839	95487830	206.31	0	1261
chr22	50818468	324632205	6.39	0	2029
chr22_region	989969	160919822	162.55	0	1268
chrX	156040895	535635337	3.43	0	5924
chrX_region	0	0	0.00	0	0
chrY	57227415	96454568	1.69	0	2632
chrY_region	0	0	0.00	0	0
chrM	16569	280834	16.95	0	44
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	2418439	13.82	0	1765
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	34908	1.09	0	6
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	108971	0.85	0	88
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	963775	14.41	0	300
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	33289	0.83	0	7
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	17280455	409.39	0	6152
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	1087154	6.18	0	1117
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	944468	23.18	0	794
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	751812	18.02	0	483
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	85293	0.53	0	6
chr2_KI270715v1_random_region	0	0	0.00	0	0
chr2_KI270716v1_random	153799	73432	0.48	0	6
chr2_KI270716v1_random_region	0	0	0.00	0	0
chr3_GL000221v1_random	155397	3157074	20.32	0	2183
chr3_GL000221v1_random_region	0	0	0.00	0	0
chr4_GL000008v2_random	209709	2130320	10.16	0	1218
chr4_GL000008v2_random_region	0	0	0.00	0	0
chr5_GL000208v1_random	92689	63136	0.68	0	9
chr5_GL000208v1_random_region	0	0	0.00	0	0
