chrom	length	bases	mean	min	max
chr1	248956422	967661764	3.89	0	1501
chr1_region	4728181	481573230	101.85	0	1501
chr2	242193529	633727167	2.62	0	1733
chr2_region	3365782	297166305	88.29	0	1524
chr3	198295559	523175491	2.64	0	1657
chr3_region	2638027	250658320	95.02	0	1657
chr4	190214555	378303802	1.99	0	1452
chr4_region	1796579	175771639	97.84	0	1452
chr5	181538259	420674356	2.32	0	999
chr5_region	2085904	197774676	94.81	0	999
chr6	170805979	513134952	3.00	0	1613
chr6_region	2346319	258702380	110.26	0	1464
chr7	159345973	457454018	2.87	0	1319
chr7_region	2210246	214870675	97.22	0	1319
chr8	145138636	328568547	2.26	0	1055
chr8_region	1566502	146339696	93.42	0	1055
chr9	138394717	409881163	2.96	0	1184
chr9_region	1873735	192280336	102.62	0	1184
chr10	133797422	444383602	3.32	0	893
chr10_region	1828952	208361738	113.92	0	893
chr11	135086622	501631707	3.71	0	1065
chr11_region	2653682	260432751	98.14	0	1065
chr12	133275309	510774169	3.83	0	1687
chr12_region	2445531	259199849	105.99	0	1565
chr13	114364328	209063392	1.83	0	1027
chr13_region	828312	95321454	115.08	0	1027
chr14	107043718	288377963	2.69	0	2134
chr14_region	1508410	144115390	95.54	0	2134
chr15	101991189	311248614	3.05	0	717
chr15_region	1620590	140717787	86.83	0	717
chr16	90338345	302126289	3.34	0	1698
chr16_region	1975485	147614357	74.72	0	1299
chr17	83257441	469250321	5.64	0	2041
chr17_region	2581394	229898244	89.06	0	1485
chr18	80373285	155347637	1.93	0	746
chr18_region	691497	70425025	101.84	0	746
chr19	58617616	394211086	6.73	0	798
chr19_region	2891894	216619456	74.91	0	798
chr20	64444167	229956020	3.57	0	829
chr20_region	1136294	110423332	97.18	0	829
chr21	46709983	102942047	2.20	0	972
chr21_region	462839	44019180	95.11	0	966
chr22	50818468	167935049	3.30	0	1010
chr22_region	989969	76892593	77.67	0	1010
chrX	156040895	229672079	1.47	0	1206
chrX_region	0	0	0.00	0	0
chrY	57227415	28411034	0.50	0	1042
chrY_region	0	0	0.00	0	0
chrM	16569	119967	7.24	0	25
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	709082	4.05	0	349
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	5642	0.18	0	3
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	59275	0.46	0	36
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	36679	0.55	0	5
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	8970	0.22	0	4
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	2140760	50.72	0	1107
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	230230	1.31	0	128
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	408402	10.02	0	221
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	415671	9.96	0	192
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	5470	0.03	0	1
chr2_KI270715v1_random_region	0	0	0.00	0	0
chr2_KI270716v1_random	153799	7719	0.05	0	2
chr2_KI270716v1_random_region	0	0	0.00	0	0
chr3_GL000221v1_random	155397	1023193	6.58	0	991
chr3_GL000221v1_random_region	0	0	0.00	0	0
chr4_GL000008v2_random	209709	652071	3.11	0	363
chr4_GL000008v2_random_region	0	0	0.00	0	0
chr5_GL000208v1_random	92689	8705	0.09	0	2
chr5_GL000208v1_random_region	0	0	0.00	0	0
chr9_KI270717v1_random	40062	13726	0.34	0	29
chr9_KI270717v1_random_region	0	0	0.00	0	0
chr9_KI270718v1_random	38054	188726	4.96	0	235
chr9_KI270718v1_random_region	0	0	0.00	0	0
chr9_KI270719v1_random	176845	141799	0.80	0	85
chr9_KI270719v1_random_region	0	0	0.00	0	0
chr9_KI270720v1_random	39050	267536	6.85	0	316
chr9_KI270720v1_random_region	0	0	0.00	0	0
chr11_KI270721v1_random	100316	91696	0.91	0	58
chr11_KI270721v1_random_region	0	0	0.00	0	0
chr14_GL000009v2_random	201709	627395	3.11	0	320
chr14_GL000009v2_random_region	0	0	0.00	0	0
chr14_GL000225v1_random	211173	249606	1.18	0	208
chr14_GL000225v1_random_region	0	0	0.00	0	0
chr14_KI270722v1_random	194050	63578	0.33	0	19
chr14_KI270722v1_random_region	0	0	0.00	0	0
chr14_GL000194v1_random	191469	334062	1.74	0	149
chr14_GL000194v1_random_region	0	0	0.00	0	0
chr14_KI270723v1_random	38115	87548	2.30	0	53
chr14_KI270723v1_random_region	0	0	0.00	0	0
chr14_KI270724v1_random	39555	96812	2.45	0	101
chr14_KI270724v1_random_region	0	0	0.00	0	0
chr14_KI270725v1_random	172810	61474	0.36	0	131
chr14_KI270725v1_random_region	0	0	0.00	0	0
chr14_KI270726v1_random	43739	10174	0.23	0	7
chr14_KI270726v1_random_region	0	0	0.00	0	0
chr15_KI270727v1_random	448248	1914426	4.27	0	694
chr15_KI270727v1_random_region	0	0	0.00	0	0
chr16_KI270728v1_random	1872759	3275544	1.75	0	406
chr16_KI270728v1_random_region	0	0	0.00	0	0
chr17_GL000205v2_random	185591	1107498	5.97	0	1853
chr17_GL000205v2_random_region	0	0	0.00	0	0
chr17_KI270729v1_random	280839	64800	0.23	0	38
chr17_KI270729v1_random_region	0	0	0.00	0	0
chr17_KI270730v1_random	112551	24801	0.22	0	7
chr17_KI270730v1_random_region	0	0	0.00	0	0
chr22_KI270731v1_random	150754	208989	1.39	0	151
chr22_KI270731v1_random_region	0	0	0.00	0	0
chr22_KI270732v1_random	41543	33573	0.81	0	67
chr22_KI270732v1_random_region	0	0	0.00	0	0
chr22_KI270733v1_random	179772	612970	3.41	0	266
chr22_KI270733v1_random_region	0	0	0.00	0	0
chr22_KI270734v1_random	165050	499447	3.03	0	146
chr22_KI270734v1_random_region	0	0	0.00	0	0
chr22_KI270735v1_random	42811	22386	0.52	0	19
chr22_KI270735v1_random_region	0	0	0.00	0	0
chr22_KI270736v1_random	181920	48855	0.27	0	8
chr22_KI270736v1_random_region	0	0	0.00	0	0
chr22_KI270737v1_random	103838	10203	0.10	0	14
chr22_KI270737v1_random_region	0	0	0.00	0	0
chr22_KI270738v1_random	99375	11477	0.12	0	4
chr22_KI270738v1_random_region	0	0	0.00	0	0
