chrom	length	bases	mean	min	max
chr1	248956422	744076925	2.99	0	4062
chr1_region	4728181	242166499	51.22	0	1297
chr2	242193529	594531513	2.45	0	1554
chr2_region	3365782	166901722	49.59	0	641
chr3	198295559	477161121	2.41	0	11112
chr3_region	2638027	129552885	49.11	0	5667
chr4	190214555	401802060	2.11	0	1942
chr4_region	1796579	87475573	48.69	0	943
chr5	181538259	411243070	2.27	0	3840
chr5_region	2085904	103221736	49.49	0	509
chr6	170805979	416651379	2.44	0	1735
chr6_region	2346319	119702328	51.02	0	1735
chr7	159345973	398722027	2.50	0	2032
chr7_region	2210246	108558880	49.12	0	1650
chr8	145138636	321084507	2.21	0	778
chr8_region	1566502	71769669	45.82	0	778
chr9	138394717	320414612	2.32	0	898
chr9_region	1873735	88902202	47.45	0	800
chr10	133797422	343768118	2.57	0	1784
chr10_region	1828952	91213624	49.87	0	477
chr11	135086622	384007398	2.84	0	2488
chr11_region	2653682	130394627	49.14	0	2488
chr12	133275309	368559508	2.77	0	487
chr12_region	2445531	120301133	49.19	0	487
chr13	114364328	205467849	1.80	0	459
chr13_region	828312	36658248	44.26	0	351
chr14	107043718	238761865	2.23	0	691
chr14_region	1508410	75489261	50.05	0	691
chr15	101991189	257755994	2.53	0	608
chr15_region	1620590	81105166	50.05	0	608
chr16	90338345	279256554	3.09	0	2222
chr16_region	1975485	93765424	47.46	0	471
chr17	83257441	326333715	3.92	0	1347
chr17_region	2581394	126326130	48.94	0	661
chr18	80373285	165298609	2.06	0	961
chr18_region	691497	32164676	46.51	0	512
chr19	58617616	270985940	4.62	0	617
chr19_region	2891894	132949172	45.97	0	617
chr20	64444167	181450493	2.82	0	806
chr20_region	1136294	51384739	45.22	0	569
chr21	46709983	98919250	2.12	0	1155
chr21_region	462839	21310612	46.04	0	349
chr22	50818468	132125326	2.60	0	1175
chr22_region	989969	44183568	44.63	0	522
chrX	156040895	377527237	2.42	0	2181
chrX_region	0	0	0.00	0	0
chrY	57227415	7668359	0.13	0	1188
chrY_region	0	0	0.00	0	0
chrM	16569	6848853	413.35	0	577
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	720607	4.12	0	200
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	85297	2.66	0	15
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	280334	2.20	0	18
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	1235385	18.48	0	318
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	107237	2.67	0	15
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	2196037	52.03	0	1139
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	489701	2.78	0	214
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	282781	6.94	0	170
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	138933	3.33	0	58
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	306128	1.90	0	14
chr2_KI270715v1_random_region	0	0	0.00	0	0
chr2_KI270716v1_random	153799	282985	1.84	0	14
chr2_KI270716v1_random_region	0	0	0.00	0	0
chr3_GL000221v1_random	155397	783545	5.04	0	264
chr3_GL000221v1_random_region	0	0	0.00	0	0
chr4_GL000008v2_random	209709	916016	4.37	0	211
chr4_GL000008v2_random_region	0	0	0.00	0	0
chr5_GL000208v1_random	92689	195444	2.11	0	12
chr5_GL000208v1_random_region	0	0	0.00	0	0
chr9_KI270717v1_random	40062	88865	2.22	0	147
chr9_KI270717v1_random_region	0	0	0.00	0	0
chr9_KI270718v1_random	38054	133834	3.52	0	121
chr9_KI270718v1_random_region	0	0	0.00	0	0
chr9_KI270719v1_random	176845	504028	2.85	0	171
chr9_KI270719v1_random_region	0	0	0.00	0	0
chr9_KI270720v1_random	39050	174992	4.48	0	135
chr9_KI270720v1_random_region	0	0	0.00	0	0
chr11_KI270721v1_random	100316	143679	1.43	0	33
chr11_KI270721v1_random_region	0	0	0.00	0	0
chr14_GL000009v2_random	201709	1167618	5.79	0	178
chr14_GL000009v2_random_region	0	0	0.00	0	0
