chrom	length	bases	mean	min	max
chr1	248956422	873405070	3.51	0	1726
chr1_region	4728181	467815016	98.94	0	1726
chr2	242193529	572820153	2.37	0	1403
chr2_region	3365782	290710566	86.37	0	1403
chr3	198295559	473151293	2.39	0	1556
chr3_region	2638027	243805212	92.42	0	1556
chr4	190214555	343469194	1.81	0	1230
chr4_region	1796579	170682556	95.00	0	1230
chr5	181538259	382165386	2.11	0	969
chr5_region	2085904	193032067	92.54	0	969
chr6	170805979	464082056	2.72	0	1513
chr6_region	2346319	250881861	106.93	0	1417
chr7	159345973	413944183	2.60	0	2312
chr7_region	2210246	209353259	94.72	0	2312
chr8	145138636	291272231	2.01	0	907
chr8_region	1566502	140518122	89.70	0	907
chr9	138394717	367067918	2.65	0	1119
chr9_region	1873735	185747812	99.13	0	1050
chr10	133797422	399195189	2.98	0	884
chr10_region	1828952	202549798	110.75	0	884
chr11	135086622	447326125	3.31	0	947
chr11_region	2653682	249044491	93.85	0	947
chr12	133275309	461471599	3.46	0	1459
chr12_region	2445531	252480738	103.24	0	1459
chr13	114364328	189109648	1.65	0	973
chr13_region	828312	92636593	111.84	0	973
chr14	107043718	259795706	2.43	0	2056
chr14_region	1508410	139652126	92.58	0	2056
chr15	101991189	278544158	2.73	0	804
chr15_region	1620590	137488815	84.84	0	804
chr16	90338345	271571356	3.01	0	1575
chr16_region	1975485	142236439	72.00	0	1288
chr17	83257441	415441020	4.99	0	1465
chr17_region	2581394	219864507	85.17	0	1465
chr18	80373285	139797260	1.74	0	762
chr18_region	691497	68400438	98.92	0	762
chr19	58617616	351368402	5.99	0	1128
chr19_region	2891894	205857857	71.18	0	1128
chr20	64444167	202975985	3.15	0	765
chr20_region	1136294	105415145	92.77	0	765
chr21	46709983	92683458	1.98	0	903
chr21_region	462839	42737576	92.34	0	897
chr22	50818468	148671407	2.93	0	1053
chr22_region	989969	73220406	73.96	0	1053
chrX	156040895	400024687	2.56	0	2746
chrX_region	0	0	0.00	0	0
chrY	57227415	1393253	0.02	0	478
chrY_region	0	0	0.00	0	0
chrM	16569	1628726	98.30	0	141
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	623116	3.56	0	304
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	11005	0.34	0	5
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	37283	0.29	0	24
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	154546	2.31	0	36
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	10460	0.26	0	6
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	1671487	39.60	0	992
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	219237	1.25	0	137
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	200056	4.91	0	101
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	218838	5.25	0	133
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	15742	0.10	0	2
chr2_KI270715v1_random_region	0	0	0.00	0	0
chr2_KI270716v1_random	153799	12012	0.08	0	2
chr2_KI270716v1_random_region	0	0	0.00	0	0
chr3_GL000221v1_random	155397	683341	4.40	0	663
chr3_GL000221v1_random_region	0	0	0.00	0	0
chr4_GL000008v2_random	209709	594406	2.83	0	349
chr4_GL000008v2_random_region	0	0	0.00	0	0
chr5_GL000208v1_random	92689	15817	0.17	0	4
chr5_GL000208v1_random_region	0	0	0.00	0	0
chr9_KI270717v1_random	40062	17432	0.44	0	32
chr9_KI270717v1_random_region	0	0	0.00	0	0
chr9_KI270718v1_random	38054	191206	5.02	0	304
chr9_KI270718v1_random_region	0	0	0.00	0	0
chr9_KI270719v1_random	176845	192621	1.09	0	137
chr9_KI270719v1_random_region	0	0	0.00	0	0
chr9_KI270720v1_random	39050	265971	6.81	0	373
chr9_KI270720v1_random_region	0	0	0.00	0	0
chr11_KI270721v1_random	100316	74364	0.74	0	71
chr11_KI270721v1_random_region	0	0	0.00	0	0
chr14_GL000009v2_random	201709	555880	2.76	0	322
chr14_GL000009v2_random_region	0	0	0.00	0	0
chr14_GL000225v1_random	211173	364736	1.73	0	162
chr14_GL000225v1_random_region	0	0	0.00	0	0
chr14_KI270722v1_random	194050	72542	0.37	0	23
chr14_KI270722v1_random_region	0	0	0.00	0	0
chr14_GL000194v1_random	191469	423728	2.21	0	219
chr14_GL000194v1_random_region	0	0	0.00	0	0
chr14_KI270723v1_random	38115	71781	1.88	0	55
chr14_KI270723v1_random_region	0	0	0.00	0	0
chr14_KI270724v1_random	39555	62561	1.58	0	82
chr14_KI270724v1_random_region	0	0	0.00	0	0
chr14_KI270725v1_random	172810	95973	0.56	0	122
chr14_KI270725v1_random_region	0	0	0.00	0	0
chr14_KI270726v1_random	43739	8366	0.19	0	4
chr14_KI270726v1_random_region	0	0	0.00	0	0
chr15_KI270727v1_random	448248	1395453	3.11	0	563
chr15_KI270727v1_random_region	0	0	0.00	0	0
chr16_KI270728v1_random	1872759	3770418	2.01	0	453
chr16_KI270728v1_random_region	0	0	0.00	0	0
chr17_GL000205v2_random	185591	1010574	5.45	0	1792
chr17_GL000205v2_random_region	0	0	0.00	0	0
chr17_KI270729v1_random	280839	328898	1.17	0	546
chr17_KI270729v1_random_region	0	0	0.00	0	0
chr17_KI270730v1_random	112551	60159	0.53	0	23
chr17_KI270730v1_random_region	0	0	0.00	0	0
chr22_KI270731v1_random	150754	517017	3.43	0	283
chr22_KI270731v1_random_region	0	0	0.00	0	0
chr22_KI270732v1_random	41543	41059	0.99	0	60
