chrom	length	bases	mean	min	max
chr1	248956422	1026451718	4.12	0	2073
chr1_region	4728181	469616433	99.32	0	2073
chr2	242193529	760849460	3.14	0	1683
chr2_region	3365782	350289161	104.07	0	1183
chr3	198295559	571690156	2.88	0	7331
chr3_region	2638027	254219245	96.37	0	7331
chr4	190214555	453745865	2.39	0	1677
chr4_region	1796579	188751572	105.06	0	1677
chr5	181538259	488050590	2.69	0	1678
chr5_region	2085904	213073466	102.15	0	755
chr6	170805979	521677363	3.05	0	2780
chr6_region	2346319	242757171	103.46	0	2780
chr7	159345973	484233319	3.04	0	4684
chr7_region	2210246	210297331	95.15	0	4226
chr8	145138636	354341671	2.44	0	1207
chr8_region	1566502	141655766	90.43	0	1207
chr9	138394717	448196425	3.24	0	1068
chr9_region	1873735	188407086	100.55	0	1036
chr10	133797422	424532320	3.17	0	806
chr10_region	1828952	182557491	99.82	0	806
chr11	135086622	491017919	3.63	0	3996
chr11_region	2653682	242892187	91.53	0	3996
chr12	133275309	490765081	3.68	0	4999
chr12_region	2445531	234984072	96.09	0	714
chr13	114364328	216043371	1.89	0	813
chr13_region	828312	81664876	98.59	0	621
chr14	107043718	308001288	2.88	0	914
chr14_region	1508410	146268775	96.97	0	914
chr15	101991189	349064861	3.42	0	1565
chr15_region	1620590	155295819	95.83	0	1565
chr16	90338345	336968005	3.73	0	1035
chr16_region	1975485	156832752	79.39	0	1035
chr17	83257441	461702054	5.55	0	1769
chr17_region	2581394	224221798	86.86	0	1264
chr18	80373285	175895359	2.19	0	1226
chr18_region	691497	69851917	101.02	0	1226
chr19	58617616	387871299	6.62	0	1716
chr19_region	2891894	223281542	77.21	0	1716
chr20	64444167	204043023	3.17	0	828
chr20_region	1136294	88534969	77.92	0	750
chr21	46709983	113435389	2.43	0	1094
chr21_region	462839	39890846	86.19	0	541
chr22	50818468	154284283	3.04	0	909
chr22_region	989969	66946226	67.62	0	720
chrX	156040895	248119269	1.59	0	1829
chrX_region	0	0	0.00	0	0
chrY	57227415	43369485	0.76	0	782
chrY_region	0	0	0.00	0	0
chrM	16569	6517372	393.35	0	844
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	776489	4.44	0	514
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	27980	0.87	0	6
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	126683	0.99	0	30
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	360502	5.39	0	84
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	45451	1.13	0	9
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	7018651	166.28	0	2890
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	527760	3.00	0	420
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	402863	9.89	0	191
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	137919	3.31	0	133
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	50965	0.32	0	5
chr2_KI270715v1_random_region	0	0	0.00	0	0
chr2_KI270716v1_random	153799	43928	0.29	0	5
chr2_KI270716v1_random_region	0	0	0.00	0	0
chr3_GL000221v1_random	155397	918526	5.91	0	533
chr3_GL000221v1_random_region	0	0	0.00	0	0
chr4_GL000008v2_random	209709	833246	3.97	0	399
chr4_GL000008v2_random_region	0	0	0.00	0	0
chr5_GL000208v1_random	92689	53040	0.57	0	10
chr5_GL000208v1_random_region	0	0	0.00	0	0
chr9_KI270717v1_random	40062	178225	4.45	0	291
chr9_KI270717v1_random_region	0	0	0.00	0	0
chr9_KI270718v1_random	38054	178115	4.68	0	200
chr9_KI270718v1_random_region	0	0	0.00	0	0
chr9_KI270719v1_random	176845	495290	2.80	0	345
chr9_KI270719v1_random_region	0	0	0.00	0	0
chr9_KI270720v1_random	39050	293876	7.53	0	272
chr9_KI270720v1_random_region	0	0	0.00	0	0
chr11_KI270721v1_random	100316	110826	1.10	0	36
chr11_KI270721v1_random_region	0	0	0.00	0	0
chr14_GL000009v2_random	201709	837004	4.15	0	426
chr14_GL000009v2_random_region	0	0	0.00	0	0
chr14_GL000225v1_random	211173	4563543	21.61	0	1692
chr14_GL000225v1_random_region	0	0	0.00	0	0
chr14_KI270722v1_random	194050	170114	0.88	0	23
chr14_KI270722v1_random_region	0	0	0.00	0	0
chr14_GL000194v1_random	191469	643500	3.36	0	132
chr14_GL000194v1_random_region	0	0	0.00	0	0
chr14_KI270723v1_random	38115	424609	11.14	0	598
chr14_KI270723v1_random_region	0	0	0.00	0	0
chr14_KI270724v1_random	39555	371556	9.39	0	401
chr14_KI270724v1_random_region	0	0	0.00	0	0
chr14_KI270725v1_random	172810	563706	3.26	0	618
chr14_KI270725v1_random_region	0	0	0.00	0	0
chr14_KI270726v1_random	43739	257899	5.90	0	218
chr14_KI270726v1_random_region	0	0	0.00	0	0
chr15_KI270727v1_random	448248	2136820	4.77	0	494
chr15_KI270727v1_random_region	0	0	0.00	0	0
chr16_KI270728v1_random	1872759	5340144	2.85	0	379
chr16_KI270728v1_random_region	0	0	0.00	0	0
chr17_GL000205v2_random	185591	751852	4.05	0	581
chr17_GL000205v2_random_region	0	0	0.00	0	0
chr17_KI270729v1_random	280839	881450	3.14	0	1146
chr17_KI270729v1_random_region	0	0	0.00	0	0
