chrom	length	bases	mean	min	max
chr1	248956422	524555903	2.11	0	1910
chr1_region	4728181	366865134	77.59	0	1910
chr2	242193529	349853018	1.44	0	1377
chr2_region	3365782	259359644	77.06	0	1377
chr3	198295559	266239812	1.34	0	3784
chr3_region	2638027	196958368	74.66	0	3784
chr4	190214555	189409979	1.00	0	976
chr4_region	1796579	138104535	76.87	0	976
chr5	181538259	219622614	1.21	0	1253
chr5_region	2085904	162081296	77.70	0	1253
chr6	170805979	249532771	1.46	0	2588
chr6_region	2346319	186780015	79.61	0	2588
chr7	159345973	223503599	1.40	0	1213
chr7_region	2210246	160214549	72.49	0	1213
chr8	145138636	149066367	1.03	0	1533
chr8_region	1566502	107894806	68.88	0	1533
chr9	138394717	194389027	1.40	0	1207
chr9_region	1873735	132990331	70.98	0	1207
chr10	133797422	198852825	1.49	0	932
chr10_region	1828952	141092134	77.14	0	932
chr11	135086622	251928769	1.86	0	2204
chr11_region	2653682	190577192	71.82	0	2204
chr12	133275309	246764829	1.85	0	999
chr12_region	2445531	183363599	74.98	0	999
chr13	114364328	86303826	0.75	0	943
chr13_region	828312	61052930	73.71	0	592
chr14	107043718	151632581	1.42	0	1320
chr14_region	1508410	112029248	74.27	0	1320
chr15	101991189	174194687	1.71	0	1298
chr15_region	1620590	119422090	73.69	0	1298
chr16	90338345	181332540	2.01	0	805
chr16_region	1975485	132110770	66.88	0	805
chr17	83257441	268079171	3.22	0	1552
chr17_region	2581394	182125918	70.55	0	1408
chr18	80373285	69944186	0.87	0	747
chr18_region	691497	50870167	73.57	0	747
chr19	58617616	231337873	3.95	0	1488
chr19_region	2891894	179321941	62.01	0	1488
chr20	64444167	101965839	1.58	0	1251
chr20_region	1136294	75422112	66.38	0	1251
chr21	46709983	47023289	1.01	0	632
chr21_region	462839	31739407	68.58	0	537
chr22	50818468	84041243	1.65	0	1086
chr22_region	989969	58973916	59.57	0	1086
chrX	156040895	121013089	0.78	0	1810
chrX_region	0	0	0.00	0	0
chrY	57227415	14314633	0.25	0	567
chrY_region	0	0	0.00	0	0
chrM	16569	68322	4.12	0	25
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	246913	1.41	0	360
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	3722	0.03	0	5
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	18030	0.27	0	21
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	725	0.02	0	1
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	2966231	70.27	0	1427
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	147902	0.84	0	207
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	230922	5.67	0	284
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	125841	3.02	0	106
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	712	0.00	0	1
chr2_KI270715v1_random_region	0	0	0.00	0	0
chr2_KI270716v1_random	153799	878	0.01	0	1
chr2_KI270716v1_random_region	0	0	0.00	0	0
chr3_GL000221v1_random	155397	210800	1.36	0	252
