chrom	length	bases	mean	min	max
chr1	248956422	1176859100	4.73	0	1645
chr1_region	4728181	552205704	116.79	0	1645
chr2	242193529	803490682	3.32	0	1631
chr2_region	3365782	343228869	101.98	0	1631
chr3	198295559	662200148	3.34	0	4765
chr3_region	2638027	288242041	109.26	0	1939
chr4	190214555	496316764	2.61	0	1235
chr4_region	1796579	203619021	113.34	0	1235
chr5	181538259	538598839	2.97	0	953
chr5_region	2085904	226807952	108.73	0	953
chr6	170805979	637944416	3.73	0	1829
chr6_region	2346319	295155308	125.80	0	1754
chr7	159345973	570096920	3.58	0	3198
chr7_region	2210246	245562375	111.10	0	3198
chr8	145138636	413459172	2.85	0	1103
chr8_region	1566502	165343899	105.55	0	1103
chr9	138394717	502261793	3.63	0	1378
chr9_region	1873735	219199508	116.99	0	1281
chr10	133797422	547720360	4.09	0	922
chr10_region	1828952	238927514	130.64	0	922
chr11	135086622	604759043	4.48	0	1161
chr11_region	2653682	293810223	110.72	0	1161
chr12	133275309	632563802	4.75	0	1708
chr12_region	2445531	302088779	123.53	0	1708
chr13	114364328	272883471	2.39	0	1157
chr13_region	828312	110218751	133.06	0	1157
chr14	107043718	355783701	3.32	0	1682
chr14_region	1508410	164777756	109.24	0	1682
chr15	101991189	384253777	3.77	0	960
chr15_region	1620590	163491329	100.88	0	960
chr16	90338345	369296260	4.09	0	1709
chr16_region	1975485	167565460	84.82	0	1454
chr17	83257441	545490482	6.55	0	1721
chr17_region	2581394	259551814	100.55	0	1721
chr18	80373285	203796122	2.54	0	823
chr18_region	691497	81029499	117.18	0	823
chr19	58617616	444940031	7.59	0	985
chr19_region	2891894	238222397	82.38	0	985
chr20	64444167	278112956	4.32	0	922
chr20_region	1136294	123672081	108.84	0	922
chr21	46709983	129191322	2.77	0	1049
chr21_region	462839	50160085	108.37	0	1049
chr22	50818468	195882484	3.85	0	1063
chr22_region	989969	84984384	85.85	0	1063
chrX	156040895	283374485	1.82	0	1742
chrX_region	0	0	0.00	0	0
