chrom	length	bases	mean	min	max
chr1	248956422	1043139570	4.19	0	2197
chr1_region	4728181	519288991	109.83	0	2197
chr2	242193529	775912565	3.20	0	8964
chr2_region	3365782	401344342	119.24	0	1388
chr3	198295559	569797641	2.87	0	8710
chr3_region	2638027	285289294	108.14	0	8710
chr4	190214555	449933358	2.37	0	1795
chr4_region	1796579	214847663	119.59	0	1795
chr5	181538259	489080471	2.69	0	1133
chr5_region	2085904	241635611	115.84	0	1133
chr6	170805979	525332811	3.08	0	2762
chr6_region	2346319	273046735	116.37	0	2762
chr7	159345973	484388490	3.04	0	6334
chr7_region	2210246	235633878	106.61	0	5532
chr8	145138636	345089942	2.38	0	1356
chr8_region	1566502	158715471	101.32	0	1356
chr9	138394717	402578189	2.91	0	1252
chr9_region	1873735	187127793	99.87	0	1170
chr10	133797422	427591945	3.20	0	927
chr10_region	1828952	206684696	113.01	0	927
chr11	135086622	488192666	3.61	0	3537
chr11_region	2653682	264095974	99.52	0	3537
chr12	133275309	501420238	3.76	0	3203
chr12_region	2445531	265911084	108.73	0	942
chr13	114364328	214359037	1.87	0	688
chr13_region	828312	94625415	114.24	0	688
chr14	107043718	314402017	2.94	0	1100
chr14_region	1508410	164655199	109.16	0	1100
chr15	101991189	360775824	3.54	0	1759
chr15_region	1620590	176951928	109.19	0	1759
chr16	90338345	332538782	3.68	0	1365
chr16_region	1975485	168757610	85.43	0	1365
chr17	83257441	466665155	5.61	0	1532
chr17_region	2581394	238369726	92.34	0	1175
chr18	80373285	173138894	2.15	0	823
chr18_region	691497	78869228	114.06	0	823
chr19	58617616	394278965	6.73	0	2123
chr19_region	2891894	239419177	82.79	0	2123
chr20	64444167	197511450	3.06	0	949
chr20_region	1136294	94897230	83.51	0	912
chr21	46709983	109121324	2.34	0	1448
chr21_region	462839	44154743	95.40	0	644
chr22	50818468	150829789	2.97	0	1197
chr22_region	989969	70672759	71.39	0	732
chrX	156040895	466439128	2.99	0	6227
chrX_region	0	0	0.00	0	0
chrY	57227415	3140971	0.05	0	797
chrY_region	0	0	0.00	0	0
chrM	16569	4066198	245.41	0	612
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	1008150	5.76	0	737
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	22226	0.69	0	5
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	106811	0.84	0	41
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	342834	5.13	0	105
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	25897	0.64	0	17
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	9046430	214.32	0	3567
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	399285	2.27	0	415
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	248516	6.10	0	207
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	246437	5.91	0	186
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	40472	0.25	0	4
chr2_KI270715v1_random_region	0	0	0.00	0	0
chr2_KI270716v1_random	153799	38420	0.25	0	4
chr2_KI270716v1_random_region	0	0	0.00	0	0
chr3_GL000221v1_random	155397	1341299	8.63	0	1045
chr3_GL000221v1_random_region	0	0	0.00	0	0
chr4_GL000008v2_random	209709	981207	4.68	0	570
chr4_GL000008v2_random_region	0	0	0.00	0	0
chr5_GL000208v1_random	92689	42426	0.46	0	10
chr5_GL000208v1_random_region	0	0	0.00	0	0
chr9_KI270717v1_random	40062	230322	5.75	0	416
chr9_KI270717v1_random_region	0	0	0.00	0	0
