chrom	length	bases	mean	min	max
chr1	248956422	953627637	3.83	0	2606
chr1_region	4728181	430944388	91.14	0	2606
chr2	242193529	664877083	2.75	0	3587
chr2_region	3365782	320012861	95.08	0	1201
chr3	198295559	492642783	2.48	0	7455
chr3_region	2638027	230361852	87.32	0	7455
chr4	190214555	388265406	2.04	0	2002
chr4_region	1796579	177896925	99.02	0	2002
chr5	181538259	409991622	2.26	0	941
chr5_region	2085904	191474231	91.79	0	941
chr6	170805979	458228213	2.68	0	3023
chr6_region	2346319	222441700	94.80	0	3023
chr7	159345973	426042815	2.67	0	5885
chr7_region	2210246	193489691	87.54	0	5460
chr8	145138636	290632539	2.00	0	997
chr8_region	1566502	125660812	80.22	0	997
chr9	138394717	354536182	2.56	0	847
chr9_region	1873735	153423290	81.88	0	707
chr10	133797422	374393254	2.80	0	969
chr10_region	1828952	166042196	90.79	0	969
chr11	135086622	437592117	3.24	0	3132
chr11_region	2653682	222161012	83.72	0	3132
chr12	133275309	437325681	3.28	0	2194
chr12_region	2445531	212215548	86.78	0	680
chr13	114364328	176378804	1.54	0	772
chr13_region	828312	74057689	89.41	0	772
chr14	107043718	279061388	2.61	0	1149
chr14_region	1508410	136820859	90.71	0	1149
chr15	101991189	328298457	3.22	0	1447
chr15_region	1620590	144128045	88.94	0	1447
chr16	90338345	308584414	3.42	0	1156
chr16_region	1975485	144373893	73.08	0	1156
chr17	83257441	428446614	5.15	0	1381
chr17_region	2581394	200798005	77.79	0	1050
chr18	80373285	143726575	1.79	0	775
chr18_region	691497	62105608	89.81	0	775
chr19	58617616	371928381	6.34	0	1731
chr19_region	2891894	211213426	73.04	0	1731
chr20	64444167	178406537	2.77	0	824
chr20_region	1136294	80397825	70.75	0	525
chr21	46709983	92023487	1.97	0	1001
chr21_region	462839	35848665	77.45	0	498
chr22	50818468	142395151	2.80	0	736
chr22_region	989969	61329798	61.95	0	504
chrX	156040895	227133880	1.46	0	4755
chrX_region	0	0	0.00	0	0
chrY	57227415	36244583	0.63	0	805
chrY_region	0	0	0.00	0	0
chrM	16569	3444015	207.86	0	472
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	779088	4.45	0	476
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	11956	0.37	0	5
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	47197	0.37	0	16
chr1_KI270708v1_random_region	0	0	0.00	0	0
