chrom	length	bases	mean	min	max
chr1	248956422	920119984	3.70	0	1409
chr1_region	4728181	466303599	98.62	0	1409
chr2	242193529	589891530	2.44	0	1455
chr2_region	3365782	284557107	84.54	0	1455
chr3	198295559	493162161	2.49	0	1588
chr3_region	2638027	241939241	91.71	0	1588
chr4	190214555	348946237	1.83	0	1120
chr4_region	1796579	166596797	92.73	0	1120
chr5	181538259	392867343	2.16	0	925
chr5_region	2085904	190249962	91.21	0	925
chr6	170805979	480720408	2.81	0	1491
chr6_region	2346319	248176890	105.77	0	1451
chr7	159345973	432069245	2.71	0	2056
chr7_region	2210246	207736994	93.99	0	2056
chr8	145138636	302024166	2.08	0	834
chr8_region	1566502	138802440	88.61	0	834
chr9	138394717	393413786	2.84	0	1297
chr9_region	1873735	187063026	99.83	0	1023
chr10	133797422	417348483	3.12	0	830
chr10_region	1828952	200159968	109.44	0	830
chr11	135086622	479033941	3.55	0	1036
chr11_region	2653682	254039128	95.73	0	1036
chr12	133275309	483113535	3.62	0	1608
chr12_region	2445531	249646428	102.08	0	1384
chr13	114364328	192689862	1.68	0	915
chr13_region	828312	90312589	109.03	0	915
chr14	107043718	263946511	2.47	0	1498
chr14_region	1508410	135064837	89.54	0	1498
chr15	101991189	293207314	2.87	0	738
chr15_region	1620590	135636640	83.70	0	624
chr16	90338345	293088902	3.24	0	1511
chr16_region	1975485	146126033	73.97	0	1254
chr17	83257441	450028160	5.41	0	1313
chr17_region	2581394	224428402	86.94	0	1313
chr18	80373285	143490168	1.79	0	657
chr18_region	691497	67336514	97.38	0	657
chr19	58617616	386902775	6.60	0	840
chr19_region	2891894	215430046	74.49	0	840
chr20	64444167	219459433	3.41	0	775
chr20_region	1136294	108054722	95.09	0	775
chr21	46709983	97091899	2.08	0	1088
chr21_region	462839	42464438	91.75	0	875
chr22	50818468	161647550	3.18	0	918
chr22_region	989969	75841676	76.61	0	918
chrX	156040895	220202978	1.41	0	1133
chrX_region	0	0	0.00	0	0
chrY	57227415	29358109	0.51	0	996
chrY_region	0	0	0.00	0	0
chrM	16569	158108	9.54	0	25
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	611794	3.49	0	307
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	4519	0.14	0	3
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	50905	0.40	0	37
