chrom	length	bases	mean	min	max
chr1	248956422	603720993	2.43	0	2334
chr1_region	4728181	363738985	76.93	0	2334
chr2	242193529	471516961	1.95	0	1709
chr2_region	3365782	279331233	82.99	0	1664
chr3	198295559	321510634	1.62	0	1204
chr3_region	2638027	200558983	76.03	0	1204
chr4	190214555	225886822	1.19	0	911
chr4_region	1796579	138114611	76.88	0	911
chr5	181538259	268355629	1.48	0	1686
chr5_region	2085904	162363983	77.84	0	1686
chr6	170805979	254407644	1.49	0	1083
chr6_region	2346319	155716763	66.37	0	1083
chr7	159345973	275478664	1.73	0	2149
chr7_region	2210246	162690911	73.61	0	2149
chr8	145138636	164782729	1.14	0	1662
chr8_region	1566502	96701359	61.73	0	1662
chr9	138394717	223184380	1.61	0	1787
chr9_region	1873735	119292432	63.67	0	1787
chr10	133797422	232735732	1.74	0	2337
chr10_region	1828952	128843407	70.45	0	2337
chr11	135086622	273886245	2.03	0	1324
chr11_region	2653682	172874489	65.15	0	1324
chr12	133275309	257679853	1.93	0	1222
chr12_region	2445531	161387984	65.99	0	1222
chr13	114364328	102205068	0.89	0	1192
chr13_region	828312	55798757	67.36	0	652
chr14	107043718	162631550	1.52	0	1800
chr14_region	1508410	101335687	67.18	0	1800
chr15	101991189	191609316	1.88	0	2185
chr15_region	1620590	112540908	69.44	0	2185
chr16	90338345	204019788	2.26	0	1652
chr16_region	1975485	122011353	61.76	0	1652
chr17	83257441	285999824	3.44	0	2651
chr17_region	2581394	166703259	64.58	0	1793
chr18	80373285	81647948	1.02	0	688
chr18_region	691497	46460425	67.19	0	642
chr19	58617616	218288724	3.72	0	2841
chr19_region	2891894	145372858	50.27	0	2841
chr20	64444167	112136894	1.74	0	569
chr20_region	1136294	65623861	57.75	0	569
chr21	46709983	53967802	1.16	0	823
chr21_region	462839	27259470	58.90	0	587
chr22	50818468	110207768	2.17	0	1842
chr22_region	989969	56573367	57.15	0	1197
chrX	156040895	353718318	2.27	0	2309
chrX_region	0	0	0.00	0	0
chrY	57227415	776767	0.01	0	259
chrY_region	0	0	0.00	0	0
chrM	16569	798648	48.20	0	1369
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	77727	0.44	0	151
chr1_KI270706v1_random_region	0	0	0.00	0	0
chr1_KI270707v1_random	32032	2750	0.09	0	2
chr1_KI270707v1_random_region	0	0	0.00	0	0
chr1_KI270708v1_random	127682	15624	0.12	0	33
chr1_KI270708v1_random_region	0	0	0.00	0	0
chr1_KI270709v1_random	66860	98221	1.47	0	50
chr1_KI270709v1_random_region	0	0	0.00	0	0
chr1_KI270710v1_random	40176	533	0.01	0	1
chr1_KI270710v1_random_region	0	0	0.00	0	0
chr1_KI270711v1_random	42210	1004524	23.80	0	1625
chr1_KI270711v1_random_region	0	0	0.00	0	0
chr1_KI270712v1_random	176043	166044	0.94	0	134
chr1_KI270712v1_random_region	0	0	0.00	0	0
chr1_KI270713v1_random	40745	452977	11.12	0	504
chr1_KI270713v1_random_region	0	0	0.00	0	0
chr1_KI270714v1_random	41717	160577	3.85	0	168
chr1_KI270714v1_random_region	0	0	0.00	0	0
chr2_KI270715v1_random	161471	4173	0.03	0	1
chr2_KI270715v1_random_region	0	0	0.00	0	0
chr2_KI270716v1_random	153799	3520	0.02	0	1
chr2_KI270716v1_random_region	0	0	0.00	0	0
chr3_GL000221v1_random	155397	61908	0.40	0	41
chr3_GL000221v1_random_region	0	0	0.00	0	0
chr4_GL000008v2_random	209709	71594	0.34	0	106
chr4_GL000008v2_random_region	0	0	0.00	0	0
chr5_GL000208v1_random	92689	5702	0.06	0	3
chr5_GL000208v1_random_region	0	0	0.00	0	0
chr9_KI270717v1_random	40062	28485	0.71	0	66
chr9_KI270717v1_random_region	0	0	0.00	0	0
chr9_KI270718v1_random	38054	164543	4.32	0	457
chr9_KI270718v1_random_region	0	0	0.00	0	0
chr9_KI270719v1_random	176845	143777	0.81	0	274
chr9_KI270719v1_random_region	0	0	0.00	0	0
chr9_KI270720v1_random	39050	179970	4.61	0	395
chr9_KI270720v1_random_region	0	0	0.00	0	0
chr11_KI270721v1_random	100316	56256	0.56	0	35
chr11_KI270721v1_random_region	0	0	0.00	0	0
chr14_GL000009v2_random	201709	76577	0.38	0	143
chr14_GL000009v2_random_region	0	0	0.00	0	0
chr14_GL000225v1_random	211173	153077	0.72	0	25
chr14_GL000225v1_random_region	0	0	0.00	0	0
chr14_KI270722v1_random	194050	42094	0.22	0	25
chr14_KI270722v1_random_region	0	0	0.00	0	0
chr14_GL000194v1_random	191469	185157	0.97	0	314
chr14_GL000194v1_random_region	0	0	0.00	0	0
chr14_KI270723v1_random	38115	28112	0.74	0	40
chr14_KI270723v1_random_region	0	0	0.00	0	0
chr14_KI270724v1_random	39555	24627	0.62	0	35
chr14_KI270724v1_random_region	0	0	0.00	0	0
chr14_KI270725v1_random	172810	109753	0.64	0	190
chr14_KI270725v1_random_region	0	0	0.00	0	0
chr14_KI270726v1_random	43739	136415	3.12	0	159
chr14_KI270726v1_random_region	0	0	0.00	0	0
chr15_KI270727v1_random	448248	1745932	3.90	0	775
